X,Y,FID,LICENSEE,CALLSIGN,LOCNUM,LAT_DMS,LATDIR,LON_DMS,LONDIR,LOCADD,LOCCITY,LOCCOUNTY,LOCSTATE,NEPA,QZONE,TOWREG,SUPSTRUC,ALLSTRUC,STRUCTYPE,LIC_ID
-65.794198179102636,18.307802871905025,10011,"WPRV-TV, INC",KPG211,1,"18,18,28",N,"65,47,39",W, ,LUQILLO, ,PR,N, , ,79,79, ,1119298
-165.402524404477646,64.499198809077825,10012,ARCTIC BROADCASTING ASSOCIATION,KSM714,1,"64,29,57",N,"165,24,9",W, ,NOME, ,AK,N, , ,0,0, ,1124043
-66.056898261545484,18.40940289782554,10013,JP BROADCAST CORP.,KTE764,1,"18,24,34",N,"66,3,25",W, ,RIO PIEDRAS, ,PR,N, , ,0,0, ,1124346
-70.327200436550868,43.851408974744459,10014,"NEW AGE MEDIA OF MAINE LICENSE, LLC",KPG380,1,"43,51,5",N,"70,19,38",W,EAGLE NEST RD,GRAY,CUMBERLAND,ME,N, , ,219,219, ,1119389
-150.96502254295595,60.507201511640517,10015,"KSRM, INC.",KTF774,1,"60,30,26",N,"150,57,54",W,MILE 9 1/2 STERLING HWY,SOLDOTNA, ,AK,N, , ,0,0, ,1124353
-65.300798025808206,18.325302885719612,10016,"RADIO SOL 92, WZOL, INC.",KPG513,1,"18,19,31",N,"65,18,3",W,BO FLAMENCO,CULEBRA, ,PR,N, , ,154,154, ,1119438
-147.326125946255388,64.758901846842818,10017,"EVANGELISTIC ALASKA MISSIONARY FELLOWSHIP, INC.",KTT306,1,"64,45,32",N,"147,19,34",W, ,NORTH POLE, ,AK,N, , ,0,0, ,1124420
-132.383319323128205,56.453304532478228,10018,WRANGELL RADIO GROUP,KPG702,1,"56,27,12",N,"132,23,0",W,CEMETARY POINT,WRANGELL, ,AK,N, , ,48,48, ,1119555
-66.988298545841189,18.148302806429403,10019,ARSO RADIO CORPORATION,KTU515,1,"18,8,54",N,"66,59,18",W, ,MARICAO, ,PR,N, , ,0,0, ,1124427
-67.276699482495076,45.16720930146812,10020,"WQDY, INC.",KPG741,1,"45,10,2",N,"67,16,36",W,0.3MI S OF S ST ON RD TO CITY DUMP,CALAIS,WASHINGTON,ME,N, , ,85,85, ,1119588
-151.190822542526291,60.512801474908194,10021,"KSRM, INC.",KUN651,1,"60,30,46",N,"151,11,27",W,MILE 6 1/2 KALIFONSKY BEACH RD,SOLDOTNA, , ,N, , ,0,0, ,1124799
-67.26579947896272,45.182009304086193,10022,"WQDY, INC.",KPG773,1,"45,10,55",N,"67,15,57",W,10 FRANKLIN  ST,CALAIS,WASHINGTON,ME,N, , ,9,9, ,1119612
-151.190822542526291,60.512801474908194,10023,"KSRM, INC.",KUN651,2,"60,30,46",N,"151,11,27",W, ,SOLDOTNA, , , , , ,0,0, ,1124799
-69.190300127448893,45.057209227224121,10024,CUMULUS LICENSING LLC,KPG830,1,"45,3,26",N,"69,11,25",W,FOSS HILL RD,GARLAND,PENOBSCOT,ME,N, , ,218,218, ,1119658
-162.586427179470689,66.899199034507873,10025,"KOTZEBUE BROADCASTING, INC.",KVB777,1,"66,53,57",N,"162,35,11",W,396 LAGOON ST,KOTZEBUE, ,AK,N, , ,24,24, ,1125052
-156.726925556069517,64.687500237745837,10026,BIG RIVER PUBLIC BROADCASTING CORP.,KPG989,1,"64,41,15",N,"156,43,37",W,7.1 MILE EASTERLY,GALENA, ,AK,N, , ,62,62, ,1119785
-66.109698279052282,18.467202913883394,10027,"CATHOLIC, APOSTOLIC & ROMAN CHURCH IN PUERTO RICO",KVH328,1,"18,28,2",N,"66,6,35",W, ,SAN JUAN, ,PR,N, , ,0,0, ,1125077
-149.871423020156215,61.181401644270515,10028,"NORTHERN LIGHTS MEDIA, INC.",KPG992,1,"61,10,53",N,"149,52,17",W,701 E TUDOR RD STE 220,ANCHORAGE, ,AK,N, ,N/A,22.9,0,TOWER,1119788
-66.091098272067541,18.381102888687391,10029,"CATHOLIC, APOSTOLIC & ROMAN CHURCH IN PUERTO RICO",KVH329,1,"18,22,52",N,"66,5,28",W, ,RIO PIEDRAS, ,PR,N, , ,0,0, ,1125078
-66.583298417687786,18.019702774663344,10030,"PONTIFICAL CATHOLIC UNIV OF PUERTO RICO SERVICE ASSN, INC.",KPH302,1,"18,1,11",N,"66,35,0",W,CERRO LOS NEGRONES,PONCE, ,PR,N, , ,39,39, ,1119889
-66.051698254670669,18.110802810101635,10031,"MIN RADIAL CRISTO VIENE RONTO, INC",KPH353,1,"18,6,39",N,"66,3,6",W,0.2 MILES SSE OF CERRO,CAYEY, ,PR,N, , ,61,61, ,1119937
-66.749998477947372,18.476402906468991,10032,ABACOA RADIO CORPORATION,KVN464,1,"18,28,35",N,"66,45,0",W, ,ARECIBO, ,PR,N, , ,0,0, ,1125109
-66.051698254670669,18.110802810101635,10033,MIN RADIAL CRISTO VIENE PRONTO INC.,KPH355,1,"18,6,39",N,"66,3,6",W,0.2 MI. SSE OF CERRO LA SANTA,CAYEY, ,PR,N, , ,61,61, ,1119938
-66.754998479196445,18.456902900248661,10034,ABACOA RADIO CORPORATION,KVN465,1,"18,27,25",N,"66,45,18",W, ,ARECIBO, ,PR,N, , ,0,0, ,1125110
-120.501122613917445,64.75000633232645,10035,COWLES CALIFORNIA MEDIA COMPANY,KPH360,2,"64,45,0",N,"120,30,4",W, , ,SANTA BARBARA,CA, , , ,0,0, ,1119943
-165.401424404112959,64.498098809612429,10036,"KNOM RADIO MISSION, INC.",KVQ703,1,"64,29,53",N,"165,24,5",W,KNOM STUDIO BLDG.,NOME, , ,N, , ,28,28, ,1125124
-66.058298260456297,18.314202869366969,10037,"MEDIA POWER GROUP, INC.",KPH371,1,"18,18,51",N,"66,3,30",W,BO MARCELO RD 842,RIO PIEDRAS, ,PR,N, , ,27,27, ,1119954
-66.551698415549424,18.436102897930425,10038,"RADIO BORINQUEN, INCORPORATED",KVY910,1,"18,26,10",N,"66,33,6",W,RTE 2 NEAR INTRSCT OF RT 140 1.3,BARCELONETA, ,PR,N, , ,0,0, ,1125200
-150.038623128654422,61.338601607278406,10039,"MCC RADIO, LLC",KPH494,1,"61,20,19",N,"150,2,19",W,"Baskin Farm, End of Red Dane Road in Pt MacKenzie",UNINCORPORATED,ANCHORAGE,AK,N, , ,27.4,27.4,TOWER,1120067
-66.189698300835857,18.28920286042371,10040,RAAD BROADCASTING CORPORATION,KPH526,1,"18,17,21",N,"66,11,23",W,781 BARRIO NUEVO,BAYAMON, ,PR,N, , ,85,85, ,1120097
144.758295224644939,13.449406898209807,10041,"PACIFIC TELESTATIONS, INC.",KVY915,1,"13,26,58",N,"144,45,30",E, ,ORDOT, ,GU, , , ,0,0, ,1125205
-66.73969847420517,18.453602900053848,10042,UNIK BROADCASTING SYSTEM CORPORATION,KPH564,1,"18,27,13",N,"66,44,23",W,STATE RD. 651,ARECIBO, ,PR,N, , ,6,6, ,1120130
-147.77332604106391,64.855801763940292,10043,"LAST FRONTIER MEDIACTIVE, LLC",KWB388,2,"64,51,21",N,"147,46,24",W, ,FAIRBANKS, ,AK, , , ,0,0, ,1125402
-152.3972208540591,57.722201477815986,10044,"KODIAK ISLAND BROADCASTING COMPANY, INC.",KPH699,1,"57,43,20",N,"152,23,50",W,SPRUCE CAPE,KODIAK, ,AK,N, , ,4,4, ,1120218
-135.321719925334264,57.054204094343554,10045,CHRISTIAN BROADCASTERS INC,KWB389,1,"57,3,15",N,"135,19,18",W, ,SITKA, ,AK,N, , ,0,0, ,1125403
-71.043900585643485,42.35030867160792,10046,WCVB HEARST  TELEVISION INC.,KYY288,1,"42,21,1",N,"71,2,38",W,100 FEDERAL ST.,BOSTON,SUFFOLK,MA,N, , ,189,189, ,1125874
-152.397520854403865,57.722201477815986,10047,"KODIAK ISLAND BROADCASTING COMPANY, INC.",KPH699,2,"57,43,20",N,"152,23,51",W, , , ,AK, , , ,0,0, ,1120218
-149.834423025302357,61.188901650191035,10048,"ALASKA PUBLIC TELECOMMUNICATIONS, INC",KZH875,1,"61,11,20",N,"149,50,4",W, ,ANCHORAGE, ,AK, , , ,24,24, ,1126078
-152.39722089003206,57.7889014726249,10049,"KODIAK ISLAND BROADCASTING COMPANY, INC.",KPH700,1,"57,47,20",N,"152,23,50",W,PILLIAR MTN,KODIAK, ,AK,N, , ,0,0, ,1120219
-149.834423025302357,61.188901650191035,10050,"ALASKA PUBLIC TELECOMMUNICATIONS, INC",KZH875,2,"61,11,20",N,"149,50,4",W,2651 PROVIDENCE DR,ANCHORAGE, ,AK,N, , ,0,0, ,1126078
-66.113298271497968,17.984402770971151,10051,MINSTERIO RADIAL CRISTO VIENE PRONTO,KPH763,1,"17,59,4",N,"66,6,48",W,6E DERKES ST,GUAYAMA, ,PR,N, , ,20,20, ,1120277
-68.56469989778202,44.759709192924959,10052,CUMULUS LICENSING LLC,KPH770,1,"44,45,35",N,"68,33,53",W,SUMMIT OF BLACKCAP MTN,EAST EDDINGTON,PENOBSCOT,ME,N, , ,12,12, ,1120284
-131.649718733732527,55.342504640976465,10053,RAINBIRD COMMUNITY BROADCASTING CORP,WHE778,1,"55,20,33",N,"131,38,59",W,HIGH MTN GRIVENA ISLAND,KETCHIKAN, ,AK,N, ,N/A,3,3, ,1126194
-151.074422522981024,60.479701496227094,10054,GOLD NUGGET BROADCASTING INC,KPH772,1,"60,28,47",N,"151,4,28",W,374 LOVERS LANE,SOLDOTHA, ,AK,N, , ,0,0, ,1120286
-132.918319492750356,56.680004453043125,10055,SEA-CHRIST BROADCASTING CORPORATION,WHE802,1,"56,40,48",N,"132,55,6",W,MILE 12 MITKOF HWY,PETERSBURG, ,AK,N, , ,12,12, ,1126213
-66.094398265967186,17.993102774673378,10056,MINISTERIO RADIAL CRISTO VIENE PRONT,KPH777,1,"17,59,35",N,"66,5,40",W,"RD 748, BARRIO CORAZON",GUAYAMA, ,PR,N, , ,6,6, ,1120291
-132.918319492750356,56.680004453043125,10057,SEA-CHRIST BROADCASTING CORPORATION,WHE802,2,"56,40,48",N,"132,55,6",W,MILE 12 MITKOF HWY,PETERSBURG, ,AK,N, , ,12,12, ,1126213
-66.576098418407241,18.167202818255522,10058,"WLII/WSUR LICENSE PARTNERSHIP, G.P.",KPH781,1,"18,10,2",N,"66,34,34",W, ,JAYUYA, ,PR,N, , ,83,83, ,1120295
-70.595600394242751,41.56170853432144,10059,"QANTUM OF CAPE COD LICENSE COMPANY, LLC",WHE830,1,"41,33,42",N,"70,35,44",W,SPRING BARS RD,FALMOUTH, , ,N, , ,91,91, ,1126239
144.651095250745243,13.342506936346057,10060,"ADVENTIST BROADCASTING SERVICE, INC.",KPH848,1,"13,20,33",N,"144,39,4",E, ,AGAT, ,GU,N, , ,12,12, ,1120355
-70.595600394242751,41.56170853432144,10061,"QANTUM OF CAPE COD LICENSE COMPANY, LLC",WHE832,1,"41,33,42",N,"70,35,44",W,SPRING BARS RD,FALMOUTH, , ,N, , ,91,91, ,1126241
-162.57082711477949,66.838599043111401,10062,"KOTZEBUE BROADCASTING, INC.",KPH873,1,"66,50,19",N,"162,34,15",W,4.1 MI,KOTZEBUE, ,AK,N, , ,101,101, ,1120379
-66.38829836177996,18.254702846858944,10063,ABACOA RADIO CORPORATION,WHE833,1,"18,15,17",N,"66,23,18",W,NR KM 33 RD #155 3KM,OROCOVIS, ,PR,N, , ,12,12, ,1126242
-68.604199905401288,44.658609172974998,10064,"BLUEBERRY BROADCASTING, LLC",KPH882,1,"44,39,31",N,"68,36,15",W, ,DEDHAM,HANCOCK,ME,N, , ,37,37, ,1120385
-66.113298271497968,17.984202771640643,10065,MINISTERIO RAD. CRISTO VIENE PRONTO,WHE855,1,"17,59,3",N,"66,6,48",W,6E DERKES STREET,GUAYAMA, ,PR,N, , ,13,13, ,1126264
-66.254198321894989,18.36640288168768,10066,SHERMAN BROADCASTING CORPORATION,WHE971,1,"18,21,59",N,"66,15,15",W,"E RTE 165, 1.5MI S",TOA ALTA, ,PR,N, , ,5,5, ,1126368
-69.138000054758663,44.126109061084378,10067,"BLUEBERRY BROADCASTING, LLC",KPH959,1,"44,7,34",N,"69,8,17",W,BENNER HILL,ROCKLAND,KNOX,ME,N, , ,46,46, ,1120451
-160.469219264257589,55.350800486653206,10068,"ALEUTIAN PENINSULA BROADCASTING, INC",KPH964,1,"55,21,3",N,"160,28,9",W,1.4 MILES NE,SAND POINT, ,AK,N, , ,9,9, ,1120455
-66.468898390548247,18.456402905070032,10069,SHERMAN BROADCASTING CORPORATION,WHE971,2,"18,27,23",N,"66,28,8",W, , , ,PR, , , ,0,0, ,1126368
-66.468898390548247,18.456402905070032,10070,SHERMAN BROADCASTING CORPORATION,WHE971,3,"18,27,23",N,"66,28,8",W,52 PASEO COVADONGA,SAN JUAN, ,PR,N, , ,16,16, ,1126368
-66.107798277768268,18.389402891030667,10071,"TELEVICENTRO OF PUERTO RICO, LLC",KPI267,1,"18,23,22",N,"66,6,28",W,RD #19 KM.5,GUAYNABO, ,PR,N, , ,30,30, ,1120488
-70.256900401632208,43.657508941684341,10072,"RADIO LICENSE HOLDING CBC, LLC",WPJT632,1,"43,39,27",N,"70,15,25",W,ONE CITY CTR FEDERAL ST AT TEMPLE ST,PORTLAND,CUMBERLAND,ME,N, , ,49,73,BTWR,1145526
-70.880300571214377,43.027208804642662,10073,CAPSTAR TX LLC,KPJ393,1,"43,1,38",N,"70,52,49",W,LONG HILL,STRATHAM,ROCKINGHAM,NH,N, , ,27,27, ,1120676
-65.735598158528148,18.211902844440768,10074,"FAJARDO BROADCASTING CO., INC.",WPJX247,1,"18,12,43",N,"65,44,8",W, ,NAGUABO, ,PR, , , ,0,0, ,1145536
-66.977498546021025,18.386102876446607,10075,"LAS RAICES PEPINIANAS, INC.",KPJ747,2,"18,23,10",N,"66,58,39",W,RD 4446 KM 1.13,SAN SEBASTIAN, ,PR,N, , ,0,0, ,1120815
-67.838599728894337,46.123309453168758,10076,"NORTHERN MAINE MEDIA, INC.",WPKC369,1,"46,7,24",N,"67,50,19",W, , ,AROOSTOOK,ME, , , ,0,0, ,1145553
-66.051698254670669,18.110802810101635,10077,"MIN. RADIAL CRISTO VIENE PRONTO, INC",KPJ760,1,"18,6,39",N,"66,3,6",W,0.2 MI SSE OF CERRO LA SANTA,GUAYAMA, ,PR,N, , ,61,61, ,1120827
-70.971100612603152,43.223908838222364,10078,"RADIO LICENSE HOLDING CBC, LLC",WPKG267,1,"43,13,26",N,"70,58,16",W,GREEN HILL,BARRINGTON,STRAFFORD,NH,N, , ,122,122,TOWER,1145559
-149.870023190317937,61.422201629601595,10079,CAPSTAR TX LLC,KPJ789,1,"61,25,20",N,"149,52,12",W,500 L STREET,KNIK, ,AK,N, , ,246,246, ,1120852
-149.866922994300722,61.144201647388172,10080,CAPSTAR TX LLC,WPKM483,2,"61,8,39",N,"149,52,1",W, ,ANCHORAGE,ANCHORAGE,AK,N, , ,0,0, ,1145578
-68.604999905421266,44.658609172974998,10081,CUMULUS LICENSING LLC,KPJ793,1,"44,39,31",N,"68,36,18",W,BALD MOUNTAIN,DEDHAM,HANCOCK,ME,N, , ,37,37, ,1120856
-69.764200277021132,44.328609078845943,10082,"LIGHT OF LIFE MINISTRIES, INC.",WPKN359,1,"44,19,43",N,"69,45,51",W,160 BANGOR ST,AUGUSTA,KENNEBEC,ME,N, ,N/A,19,19,TOWER,1145581
-67.26579947896272,45.182009304086193,10083,"WQDY, INC.",KPJ960,1,"45,10,55",N,"67,15,57",W,10 FRANKLIN ST.,CALAIS,WASHINGTON,ME,N, , ,9,9, ,1120979
-64.732497850295488,18.339502899339386,10084,"GARK, LLC",WPKQ426,1,"18,20,22",N,"64,43,57",W,10-10-10 ESTATE CAROLINA .5 MKM NW OF BORDEAUX MOUNTAIN 3 KM W,CORAL HARBOR, ,VI,N, , ,55,55,TOWER,1145599
-70.29560043261381,43.951908994004881,10085,"NASSAU BROADCASTING III, L.L.C. DEBTOR-IN-POSSESSION",KPK286,1,"43,57,7",N,"70,17,44",W,GLOUCESTER HILL ROAD,NEW GLOUCESTER,ANDROSCOGGIN,ME,N, , ,153,153, ,1121036
-64.971097924829337,18.357002899664106,10086,"GARK, LLC",WPKQ427,1,"18,21,25",N,"64,58,16",W,CROWN MOUNTAIN 1A 10 ESTATE DOROTHEA,SAIN TTHOMAS ISLAND, ,VI,N, , ,73,73,TOWER,1145600
-70.916900503555382,41.640608539552481,10087,"RADIO LICENSE HOLDING CBC, LLC",KPK287,1,"41,38,26",N,"70,55,1",W,POPES ISLAND VS HWY 6,NEW BEDFORD,BRISTOL,MA,N, , ,120,120, ,1121037
-70.328100437585078,43.851708975089196,10088,"MPS MEDIA OF PORTLAND LICENSE , LLC",WPKX977,1,"43,51,6",N,"70,19,41",W,EAGLE NEST RD,GRAY,CUMBERLAND,ME,N, ,N/A,61,61,TOWER,1145636
-70.320000429176446,43.758908958381767,10089,"NASSAU BROADCASTING III, L.L.C. DEBTOR-IN-POSSESSION",KPK290,1,"43,45,32",N,"70,19,12",W,BLACKSTRAP HILL,FALMOUTH,CUMBERLAND,ME,N, , ,24,24, ,1121040
-68.506099911381739,45.343909297676014,10090,BANGOR BAPTIST CHURCH,WPLQ934,1,"45,20,38",N,"68,30,22",W,FISH HILL,LINCOLN,PENOBSCOT,ME,N, , ,53,53,TOWER,1145654
-68.79780003344473,45.716109354862915,10091,"KATAHDIN COMMUNICATIONS, INC..",KPK313,1,"45,42,58",N,"68,47,52",W,HAMMOND RIDGE OFF BLACK CAT RD,MILLINOCKET,PENOBSCOT,ME,N, , ,390,390, ,1121060
-66.11219827652917,18.279402858155429,10092,"WLII/WSUR LICENSE PARTNERSHIP, G.P.",KPK443,1,"18,16,46",N,"66,6,44",W,RD 173 CERRO MARQUESA,RURAL, ,PR,N, , ,74,74, ,1121183
-68.341399976627599,47.331709642985693,10093,THE CANXUS BROADCASTING CORPORATION,WPLV922,1,"47,19,54",N,"68,20,29",W, , ,AROOSTOOK,ME, , , ,0,0, ,1145693
-66.065498265132817,18.444202908137743,10094,"COMMUNICATIONS COUNSEL GROUP, INC.",WPMA654,1,"18,26,39",N,"66,3,56",W, , , ,PR, , , ,0,0, ,1145704
-66.409398367140909,18.167202820953484,10095,"WLII/WSUR LICENSE PARTNERSHIP, G.P.",KPK447,1,"18,10,2",N,"66,24,34",W,MONTE JAYUYA,RURAL, ,PR,N, , ,12,12, ,1121187
-66.553898410882937,18.152802814298461,10096,"WPAB, INC.",WPMH794,1,"18,9,10",N,"66,33,14",W,CERRO MARAVILLA,JAYUYA, ,PR,N, ,N/A,6,6,B,1145738
-66.608898425521886,18.012202771440794,10097,"WLII/WSUR LICENSE PARTNERSHIP, G.P.",KPK447,2,"18,0,44",N,"66,36,32",W,47 ST LOLITA TIZOL,PONCE, ,PR,N, , ,12,12, ,1121187
-66.07079826672657,18.421102901377829,10098,"WPAB, INC.",WPMH794,2,"18,25,16",N,"66,4,15",W, , , ,PR, , , ,0,0, ,1145738
-67.173598605890902,18.321402854258391,10099,"WLII/WSUR LICENSE PARTNERSHIP, G.P.",KPK447,3,"18,19,17",N,"67,10,25",W,BARRIO ATALAYA,RURAL, ,PR,N, , ,23,23, ,1121187
-145.537223677430745,62.11390230304891,10100,ALASKA BIBLE COLLEGE,WPMQ901,1,"62,6,50",N,"145,32,14",W, , , ,AK, , , ,0,0, ,1145780
-160.469219264257589,55.350800486653206,10101,"ALEUTIAN PENINSULA BROADCASTING, INC",WPMU364,1,"55,21,3",N,"160,28,9",W,MEADOWS SUBDIVISION 1.4 MI NE,SAND POINT, ,AK,N, ,N/A,9,9,TOWER,1145801
-66.576098418407241,18.167202818255522,10102,"WLII/WSUR LICENSE PARTNERSHIP, G.P.",KPK448,1,"18,10,2",N,"66,34,34",W,MONTE JAYUYA,RURAL, ,PR,N, , ,84,84, ,1121188
-160.495019255234411,55.335300485029393,10103,"ALEUTIAN PENINSULA BROADCASTING, INC",WPMU367,1,"55,20,7",N,"160,29,42",W,SAND POINT CITY BLDG,SAND POINT, ,AK,N, ,N/A,11,17,BTWR,1145802
-66.11219827652917,18.279402858155429,10104,"WLII/WSUR LICENSE PARTNERSHIP, G.P.",KPK449,1,"18,16,46",N,"66,6,44",W,RD 173 CERRO MARQUESA,RURAL, ,PR,N, , ,18,18, ,1121189
-65.636898130544239,18.359402889831522,10105,"WESTERN NEW LIFE, INC.",WPMX820,1,"18,21,34",N,"65,38,13",W, , , ,PR, , , ,0,0, ,1145834
-66.982798544017555,18.147802805854838,10106,WESTERN BROADCASTING CORP. OF PUERTO RICO,KPK468,1,"18,8,52",N,"66,58,58",W,MONTE DEL ESTADO,MARICOA, ,PR,N, , ,117,117, ,1121207
-68.604199905401288,44.658609172974998,10107,"BLUEBERRY BROADCASTING, LLC",WPMY920,1,"44,39,31",N,"68,36,15",W,ATOP BALD MOUNTAIN,DEDHAM,HANCOCK,ME,N, ,N/A,37,37,TOWER,1145840
-151.632822000934567,59.683301461493322,10108,"PENINSULA COMMUNICATIONS, INC.",WPQA389,1,"59,41,0",N,"151,37,58",W,66060 DIAMOND RIDGE RD,HOMER, ,AK,N, ,N/A,18,18,BTWR,1145956
-67.173598605890902,18.321402854258391,10109,"WLII/WSUR LICENSE PARTNERSHIP, G.P.",KPK537,1,"18,19,17",N,"67,10,25",W,BARRIO ATALAYA,RURAL, ,PR,N, , ,101,101, ,1121232
-151.632822000934567,59.683301461493322,10110,"PENINSULA COMMUNICATIONS, INC.",WPQA392,1,"59,41,0",N,"151,37,58",W,66060 DIAMOND RIDGE RD,HOMER, ,AK,N, ,N/A,18,18,BTWR,1145957
-66.588898422324291,18.172802819294702,10111,"TELEVICENTRO OF PUERTO RICO, LLC",KPK910,1,"18,10,22",N,"66,35,20",W,3.1 MILES SOUTH,JAYUYA, ,PR,N, , ,61,61, ,1121329
-65.851898195944955,18.276702862247351,10112,"EBENEZER BROADCASTING GROUP, INC.",WPQG223,1,"18,16,36",N,"65,51,7",W,1.7 KM E OF RD PR 186 ANORANZAS KM 9.2,CANOVANAS, ,PR,N, ,1027505,81,81,TOWER,1145973
-66.108598277788246,18.404702895122565,10113,"TELEVICENTRO OF PUERTO RICO, LLC",KPK917,1,"18,24,17",N,"66,6,31",W,SANTA ANA BLDG. RT 19,SAN JUAN, ,PR,N, , ,85,85, ,1121335
-66.040598253606504,18.218602841348115,10114,"NEW LIFE BROADCASTING, INC.",WQA929,1,"18,13,7",N,"66,2,26",W,STATE RT 2 CONSOLIDATED MALL,CAGUAS, ,PR,N, , ,0,0, ,1146005
-65.944398224898123,18.279402860853406,10115,"MSG RADIO, INC.",KPK990,1,"18,16,46",N,"65,56,40",W,1 MI N,CAROLINA, ,PR,N, , ,91,91, ,1121387
-66.097798271672843,18.222502842232398,10116,"NEW LIFE BROADCASTING, INC.",WQA930,1,"18,13,21",N,"66,5,52",W,STATE RD785 KM 4.5 BO HORMIGAS,AGUAS BUENAS, ,PR,N, , ,0,0, ,1146006
-68.750799964147006,44.817509197291642,10117,"PACIFIC AND SOUTHERN COMPANY, INC.",KPL240,1,"44,49,3",N,"68,45,3",W,329 MOUNT HOPE AVE,BANGOR,PENOBSCOT,ME,N, , ,9,9, ,1121420
-67.553598720604441,18.152002798090727,10118,"UNO RADIO OF PONCE, INC.",WQB290,1,"18,9,7",N,"67,33,13",W,WITHIN CITY,CERRO MARAVILLAS, ,PR,N, , ,0,0, ,1146126
-68.565799888254219,44.593309162687767,10119,"PACIFIC AND SOUTHERN COMPANY, INC.",KPL240,2,"44,35,36",N,"68,33,57",W, , ,PENOBSCOT,ME, , , ,0,0, ,1121420
-68.565799898146736,44.760009192370376,10120,"PACIFIC AND SOUTHERN COMPANY, INC.",KPL263,1,"44,45,36",N,"68,33,57",W,BLACK CAP MOUNTAIN,EAST EDDINGTON,PENOBSCOT,ME,N, , ,112,112, ,1121429
-66.942998537852191,18.485602906249181,10121,"IDALIA ARZUAGA, ET AL, EXECUTRIX, ESTATE OF JOSE J. ARZUAGA",WSM781,1,"18,29,8",N,"66,56,35",W,STATE RTE. 2,QUEBRADILLAS,SAN JUAN,PR,N, , ,34,34, ,1146207
-70.880300571214377,43.027208804642662,10122,CAPSTAR TX LLC,KPL294,1,"43,1,38",N,"70,52,49",W,LONG HILL,STRATHAM,ROCKINGHAM,NH,N, , ,61,61, ,1121443
-66.988298545841189,18.148302806429403,10123,ARSO RADIO CORPORATION,WWA356,1,"18,8,54",N,"66,59,18",W,KM 15.7 PUBLIC RD #87,MAYAGUEZ, ,PR,N, , ,0,0, ,1146224
-67.116398591421842,18.499702907163506,10124,"AGUADILLA RADIO & TV CORP., INC.",KPL344,1,"18,29,59",N,"67,6,59",W,256 BELT ST.,AGUADILLA, ,PR,N, , ,18,18, ,1121475
-66.988298545841189,18.148302806429403,10125,ARSO RADIO CORPORATION,WWA356,2,"18,8,54",N,"66,59,18",W, ,MAYAGUEZ, ,PR, , , ,0,0, ,1146224
-67.021098554754474,18.076702784406049,10126,SAN GERMAN BROADCASTERS GROUP,KPL347,1,"18,4,36",N,"67,1,16",W,STATE RD. #102,SAN GERMAN, ,PR,N, , ,5,5, ,1121477
-67.16689860538628,18.404702878934753,10127,JAICOA B/CG CORP,WWA366,1,"18,24,17",N,"67,10,1",W, ,AGUADILLA, ,PR,N, , ,0,0, ,1146225
